hs2,hs2_name
00,re_import_export
01,Live animals.
02,Meat and edible meat offal.
03,Fish and crustaceans  
04,birds' eggs; natural honey; edible products 
05,Products of animal origin
06,Live trees and other plants; 
07,Edible vegetables and certain roots and tubers.
08,Edible fruit and nuts; peel of citrus fruit or melons.
09,Coffee  tea  mate and spices.
10,Cereals.
11,Products of the milling industry; malt; starches; 
12,Oil seeds and oleaginous fruits;.
13,Lac; gums  resins and other vegetable saps and extracts.
14,Vegetable plaiting materials; 
15,Animal or vegetable fats and oils 
16,Preparations of meat  of fish 
17,Sugars and sugar confectionery.
18,Cocoa and cocoa preparations.
19,Preparations of cereals  flour  starch or milk; 
20,Preparations of vegetables  fruit  nuts or other parts of plants.
21,Miscellaneous edible preparations.
22,Beverages  spirits and vinegar.
23,Residues and waste from the food industries; prepared animal fodder.
24,Tobacco and manufactured tobacco substitutes.
25,Salt; sulphur; earths and stone; plastering materials 
26,Ores  slag and ash.
27,Mineral fuels  mineral oils and products of their distillation; 
28,Inorganic chemicals; 
29,Organic chemicals.
30,Pharmaceutical products.
31,Fertilisers.
32,Tanning or dyeing extracts; 
33,Essential oils and resinoids; perfumery  cosmetic or toilet 
34,Soap  organic surface-active agents  washing preparations 
35,Albuminoidal substances; modified starches; glues; enzymes.
36,Explosives; pyrotechnic products; matches;
37,Photographic or cinematographic goods.
38,Miscellaneous chemical products.
39,Plastics and articles thereof.
40,Rubber and articles thereof.
41,Raw hides and skins (other than furskins) and leather.
42,Articles of leather; saddlery and harness;
43,Furskins and artificial fur; manufactures thereof.
44,Wood and articles of wood; wood charcoal.
45,Cork and articles of cork.
46,Manufactures of straw  of esparto or of other plaiting materials;
47,Pulp of wood or of other fibrous cellulosic material;
48,Paper and paperboard; articles of paper pulp  
49,Printed books  newspapers  
50,Silk.
51,Wool  fine or coarse animal hair; horsehair yarn and woven fabric.
52,Cotton.
53,Other vegetable textile fibres; paper yarn 
54,Man-made filaments; strip 
55,Man-made staple fibres.
56,Wadding  felt and nonwovens; 
57,Carpets and other textile floor coverings.
58,Special woven fabrics; tufted textile fabrics; lace; 
59,Impregnated  coated  covered or laminated textile fabrics; 
60,Knitted or crocheted fabrics.
61,Articles of apparel   knitted or crocheted.
62,Articles of apparel   not knitted or crocheted.
63,Other made up textile articles; sets; worn clothing 
64,Footwear  gaiters and the like; parts of such articles.
65,Headgear and parts thereof.
66,Umbrellas  sun umbrellas  walking-sticks  seat-sticks  
67,Prepared feathers and down and articles made of feathers 
68,Articles of stone  plaster  cement  asbestos  mica 
69,Ceramic products.
70,Glass and glassware.
71,Natural or cultured pearls
72,Iron and steel.
73,Articles of iron or steel.
74,Copper and articles thereof.
75,Nickel and articles thereof.
76,Aluminium and articles thereof.
77,(Reserved for possible future use in the Harmonized System)
78,Lead and articles thereof.
79,Zinc and articles thereof.
80,Tin and articles thereof.
81,Other base metals; cermets; articles thereof.
82,Tools  implements  cutlery  spoons and forks  
83,Miscellaneous articles of base metal.
84,machines
85,Electrical machinery and equipment and parts thereof; 
86,Railway or tramway locomotives  rolling-stock and parts thereof;
87,auto mobile(car) 
88,Aircraft  spacecraft  and parts thereof.
89,Ships  boats and floating structures.
90,Optical  photographic  cinematographic  
91,Clocks and watches and parts thereof.
92,Musical instruments; parts and accessories of such articles.
93,Arms and ammunition; parts and accessories thereof.
94,Furniture; bedding  mattresses 
95,Toys  games and sports requisites; parts and accessories thereof.
96,Miscellaneous manufactured articles.
97,Works of art  collectors' pieces and antiques.
